case_id,variant,family_hat,ended,kernel_fit,kernel_oracle,kernel_csr,kernel_regret,kernel_gain,dss_fit,dss_oracle,dss_csr,dss_regret,dss_gain,family,delta_tilde,n
poisson-15701-0,hgb|tau0|s3tau0,matern2,family,-0.30353361140128304,-0.30379959210717694,-0.3041504798412676,0.0002659807058938979,-0.00035088773409064355,-28.680628771810607,-28.42488519636587,-26.59885400427377,-0.25574357544473614,1.8260311920921026,poisson,-0.9211682589126388,79
poisson-15701-0,hgb|tau0.3|s3tau0.3,poisson,poisson,-0.3041504798412676,-0.30379959210717694,-0.3041504798412676,-0.00035088773409064355,-0.00035088773409064355,-26.59885400427377,-28.42488519636587,-26.59885400427377,1.8260311920921026,1.8260311920921026,poisson,-0.9211682589126388,79
poisson-15701-0,hgb|tau0.5|s3tau0.5,poisson,poisson,-0.3041504798412676,-0.30379959210717694,-0.3041504798412676,-0.00035088773409064355,-0.00035088773409064355,-26.59885400427377,-28.42488519636587,-26.59885400427377,1.8260311920921026,1.8260311920921026,poisson,-0.9211682589126388,79
poisson-15701-0,hgb|tau0.7|s3tau0.7,poisson,poisson,-0.3041504798412676,-0.30379959210717694,-0.3041504798412676,-0.00035088773409064355,-0.00035088773409064355,-26.59885400427377,-28.42488519636587,-26.59885400427377,1.8260311920921026,1.8260311920921026,poisson,-0.9211682589126388,79
poisson-15701-0,hgb|tau0.9|s3tau0.9,poisson,poisson,-0.3041504798412676,-0.30379959210717694,-0.3041504798412676,-0.00035088773409064355,-0.00035088773409064355,-26.59885400427377,-28.42488519636587,-26.59885400427377,1.8260311920921026,1.8260311920921026,poisson,-0.9211682589126388,79
poisson-19999-0,hgb|tau0|s3tau0,poisson,poisson,-0.30302670933434034,-0.30287197844319924,-0.30302670933434034,-0.00015473089114109717,-0.00015473089114109717,-30.048877513757787,-30.024788802984848,-30.048877513757787,-0.024088710772939947,-0.024088710772939947,poisson,-0.9752520082528948,162
poisson-19999-0,hgb|tau0.3|s3tau0.3,poisson,poisson,-0.30302670933434034,-0.30287197844319924,-0.30302670933434034,-0.00015473089114109717,-0.00015473089114109717,-30.048877513757787,-30.024788802984848,-30.048877513757787,-0.024088710772939947,-0.024088710772939947,poisson,-0.9752520082528948,162
poisson-19999-0,hgb|tau0.5|s3tau0.5,poisson,poisson,-0.30302670933434034,-0.30287197844319924,-0.30302670933434034,-0.00015473089114109717,-0.00015473089114109717,-30.048877513757787,-30.024788802984848,-30.048877513757787,-0.024088710772939947,-0.024088710772939947,poisson,-0.9752520082528948,162
poisson-19999-0,hgb|tau0.7|s3tau0.7,poisson,poisson,-0.30302670933434034,-0.30287197844319924,-0.30302670933434034,-0.00015473089114109717,-0.00015473089114109717,-30.048877513757787,-30.024788802984848,-30.048877513757787,-0.024088710772939947,-0.024088710772939947,poisson,-0.9752520082528948,162
poisson-19999-0,hgb|tau0.9|s3tau0.9,poisson,poisson,-0.30302670933434034,-0.30287197844319924,-0.30302670933434034,-0.00015473089114109717,-0.00015473089114109717,-30.048877513757787,-30.024788802984848,-30.048877513757787,-0.024088710772939947,-0.024088710772939947,poisson,-0.9752520082528948,162
