model,tau,branch,n_routed,balanced_accuracy,impostors_rejected,own_rejected,impostor_share
hgb,0.0,clustered,51250,0.6104511743241928,0.02814344076259646,0.002772871051226225,0.05002926829268293
hgb,0.0,repulsive,25506,0.9965643825301205,0.04292929292929293,0.003435617469879518,0.16694111189524033
hgb,0.3,clustered,51250,0.6138102576698977,0.18066273263731275,0.017807994084541756,0.05002926829268293
hgb,0.3,repulsive,25506,0.9873870481927711,0.13383838383838384,0.012612951807228916,0.16694111189524033
hgb,0.5,clustered,51250,0.5968450259507813,0.41942805265546984,0.05266401018773364,0.05002926829268293
hgb,0.5,repulsive,25506,0.9727974397590361,0.2696969696969697,0.027202560240963857,0.16694111189524033
hgb,0.7,clustered,51250,0.5657271065464043,0.6581933726736269,0.11021648933985129,0.05002926829268293
hgb,0.7,repulsive,25506,0.9484657379518072,0.44545454545454544,0.051534262048192774,0.16694111189524033
hgb,0.9,clustered,51250,0.5048469889944406,0.902859736722651,0.22386312286899726,0.05002926829268293
hgb,0.9,repulsive,25506,0.9027673192771084,0.6797979797979798,0.09723268072289157,0.16694111189524033
nn,0.0,clustered,51250,0.6062875379021636,0.06899682251475261,0.00776403894343343,0.05002926829268293
nn,0.0,repulsive,25506,0.9889401355421686,0.14393939393939395,0.011059864457831326,0.16694111189524033
nn,0.3,clustered,51250,0.6165911911543532,0.21879255560599184,0.02431910610853223,0.05002926829268293
nn,0.3,repulsive,25506,0.9736916415662651,0.2787878787878788,0.02630835843373494,0.16694111189524033
nn,0.5,clustered,51250,0.599765745783576,0.398093508851566,0.05019923591997699,0.05002926829268293
nn,0.5,repulsive,25506,0.9537838855421686,0.42828282828282827,0.046216114457831324,0.16694111189524033
nn,0.7,clustered,51250,0.5580591731885982,0.7489786654561961,0.13149570718481698,0.05002926829268293
nn,0.7,repulsive,25506,0.9250282379518072,0.5888888888888889,0.07497176204819277,0.16694111189524033
nn,0.9,clustered,51250,0.5146362804918739,0.8665456196096233,0.1988456640512673,0.05002926829268293
nn,0.9,repulsive,25506,0.8996140813253012,0.7,0.1003859186746988,0.16694111189524033
perslay_z_rips,0.0,clustered,51250,0.5641951489400437,0.22696323195642307,0.05202727683522984,0.05002926829268293
perslay_z_rips,0.0,repulsive,25506,0.9648908132530121,0.3212121212121212,0.03510918674698795,0.16694111189524033
perslay_z_rips,0.3,clustered,51250,0.5513887996095107,0.4997730367680436,0.11060674526557943,0.05002926829268293
perslay_z_rips,0.3,repulsive,25506,0.9265342620481928,0.5207070707070707,0.07346573795180723,0.16694111189524033
perslay_z_rips,0.5,clustered,51250,0.5295548206519819,0.6218792555605992,0.14638705171918004,0.05002926829268293
perslay_z_rips,0.5,repulsive,25506,0.8780120481927711,0.7297979797979798,0.12198795180722892,0.16694111189524033
